"ระนอง","ระยอง","ยะลา","ร้อยเอ็ด"
"วัดสุวรรณคีรีวิหาร","วัดป่าประดู่","วัดพุทธาธิวาส","วัดกลางมิ่งเมือง"
"วัดนิคมปากจั่น","วัดลุ่มมหาชัยชุมพล","วัดพุทธภูมิ","วัดบูรพาภิราม"
"วัดจันทาราม","วัดสารนาถธรรมาราม","วัดเมืองยะลา","วัดบึงพระลานชัย"
"วัดตรอกปรือ","วัดซากผักกูด","วัดบาละ","วัดดงพิกุล"
"วัดสุวรรณคีรี","วัดหนองบอน","วัดคชศิลาวนาราม","วัดวังปากบุ่ง"
"วัดทับหลี","วัดคลองตาทัย","วัดศรีนคร","วัดดอนวิเวก"
"วัดมัชฌิมเขต","วัดพนานิคม","วัดไทยพัฒนาราม","วัดโพธิ์ศรี"
"วัดลำเลียง","วัดมะขามเดี่ยว","วัดเขาบันนังกระแจะ","วัดป่าโชคระดาศรัทธาธรรม"
"วัดธรรมาวุธาราม","วัดหนองระกำ","วัดบ่อหิน","วัดป่าดงยางเครือ"
"วัดปทุมธาราราม","วัดนพเก้าพนาราม","วัดคงคานิมิตร","วัดป่าวรคุณ"
"วัดคงคารี","วัดหนองหว้า","วัดคอกช้าง","วัดโพธิ์สำราญ"
"วัดชนาราม","วัดอัษฎาราม","วัดตาพะเยา","วัดอัมพวัน"
"วัดป่าสะเดา","วัดกระเฉท","วัดธารโต","วัดอุดรจานเหนือ"
"วัดป่าตะเคียนงาม","วัดมาบข่า","วัดจินดาพลาราม","วัดบูรพาจานใต้"
"วัดสถิตย์ธรรมาราม","วัดเขาแกแล","วัดบ้านฉลองชัย","วัดผดุงวิทยา"
"วัดควนไทรงาม","วัดเขาชะอาง","วัดกม.26ใน","วัดท่าสะแบง"
"วัดอุปนันทาราม","วัดถ้ำสุวรรณภูผา","วัดเขาน้ำตก","วัดบ้านหวายหลืม"
"วัดวารีบรรพต","วัดมะเดื่อ","วัดเจริญธรรม","วัดศรีสว่าง"
"วัดป่าชัยมงคล","วัดเขาช่องลม","วัดสุวรรณบรรพต","วัดอัมพวันวนาราม"
"วัดปากน้ำประชารังสฤษดิ์","วัดชำฆ้อ","วัดถ้ำทะลุ","วัดบุรีอี่โก่ม"
"วัดนกงาง","วัดเขาชะเมา","วัดเนรัญชราวาส","วัดปอหู"
"วัดราชกรูดล่าง","วัดน้ำเป็น","วัดจันทร์ธาดาประชาราม","วัดยางไต้"
"วัดใหม่ราชกรูด","วัดน้ำใส","วัดมาลาประชาสรรค์","วัดยางโทนโพธิการาม"
"วัดอัมพวัน(ม่วงกลวง)","วัดสามแยกน้ำเป็น","วัดบ่อน้ำร้อน","วัดศรีฐาน"
"วัดบ้านหงาว","วัดเขาพัง","วัดพุทธมงคล","วัดสำราญ"
"วัดตโปทาราม(บ่อน้ำร้อน)","วัดปากแพรก","วัดวังใหม่","วัดอินทราราม"
"วัดหาดส้มแป้น","วัดยางเอน","วัดพรุทุ่งคอก","วัดป่าโนนสวรรค์"
"วัดเกาะพยาม","วัดสีระมัน","วัดศรีพัฒนาราม","วัดแสนสุขาราม"
"วัดทรายแดงวนาราม","วัดห้วยทับมอญ","วัดดิตถมงคล","วัดเกาะกลางนางงาม"
"วัดปุญญาราม","วัดกระแสร์คูหาสวรรค์","วัดชมพูสถิต","วัดดอนเกลือ"
"วัดโพธิ์ทอง","วัดคลองป่าไม้","วัดยูปาราม","วัดบ้านมะบ้า"
"วัดบางขุนแพ่ง","วัดยางงาม","วัดวาลุการาม","วัดราษีการาม"
"วัดโพธาราม","วัดกลางกร่ำ","วัดสิริปุณณาราม","วัดวังทอง"
"วัดประทุมสาคร","วัดชากมะกรูด","วัดเฉลิมนิคม","วัดศรีธาราม"
"วัดระวิมงคลธรรม","วัดป่ากร่ำ","วัดนิโรธสังฆาราม","วัดสว่างดอนแก้ว"
"","วัดกองดิน","วัดเวฬุวัน","วัดสังข์ทอง"
"","วัดเขาน้อย","วัดหลักห้า","วัดสุดารังสรรค์"
"","วัดเขายายพริ้ง","วัดคูหาภิมุข","วัดป่าโนนเขาเหลวง"
"","วัดเขาสำรอง","วัดยะลาธรรมาราม","วัดป่าสามัคคีธรรม"
"","วัดชากกองดิน","วัดตรีมิตร","วัดบ้านโนนสะอาด"
"","วัดชำสมอ","วัดสวนใหม่","วัดชัยมงคลวนาราม"
"","วัดมะค่าไทรงาม","วัดมหายานกาญจนมาสราษฎร์บำรุง","วัดสาวแห"
"","วัดสุขไพรวัน","วัดวงกตบรรพต","วัดป่าม่วงหวาน"
"","วัดหนองคุย","วัดยะหาประชาราม","วัดป่าศรีโพธิ์ทอง"
"","วัดคลองปูน","วัดปูแหล","วัดศรีเจริญ"
"","วัดไตรรัตนาราม","วัดสุนทรประชาราม","วัดไทรทอง"
"","วัดเนินยาง","วัดวชิรปราการ","วัดบ้านดอกรัก"
"","วัดเนินสมบูรณ์","วัดรังสิตาวาส","วัดบ้านหนองอ่าง"
"","วัดเขากะโดน","วัดสารพฤกษาวาส","วัดฮ่องทราย"
"","วัดบุนนาค","วัดนิโครธาวาส","วัดไตรตรึงษ์"
"","วัดคลองตากวา","","วัดบูรพากู่กาสิงห์น้อย"
"","วัดชากพง","","วัดม่วงศรีไพรวัลย์"
"","วัดในชาก","","วัดสว่างอารมณ์กู่"
"","วัดพลงไสว","","วัดกลาง"
"","วัดสมอโพรง","","วัดจอมกระสัญ"
"","วัดสันติวัน","","วัดธาตุ"
"","วัดอรัญรังษี","","วัดบ้านหนองแวง"
"","วัดเจริญสุข","","วัดป่ายาง"
"","วัดพลงช้างเผือก","","วัดโพนโพธิ์"
"","วัดโพธิ์ทองพุทธาราม","","วัดสระเกษ"
"","วัดราชบัลลังก์ประดิษฐาราม","","วัดสระทอง"
"","วัดหนองกันเกรา","","วัดบ้านดงครั่งน้อย"
"","วัดอ่างตานนท์","","วัดสว่างทุ่งรังษี"
"","วัดอ่างสตานนท์","","วัดสว่างอารมณ์ฮาด"
"","วัดชุมนุมสูง","","วัดสุทธิสุวรรณาราม"
"","วัดถ้ำหมีนอน","","วัดแสนสี"
"","วัดเนินเขาดิน","","วัดดงครั่งใหญ่"
"","วัดเนินสุข","","วัดบ้านแจ่มอารมณ์"
"","วัดหนองกะพ้อ","","วัดบูรพาราม"
"","วัดอุดมธัญญาวาส","","วัดเขวาตะคลอง"
"","วัดจำรุง","","วัดเขวาหรดี"
"","วัดถนนกะเพรา","","วัดชิโนวาทธำรง"
"","วัดเนินฆ้อ","","วัดน้อยเจริญศรี"
"","วัดเนินทราย","","วัดโพนหิน"
"","วัดหนองแพงพวย","","วัดไผ่สีทอง"
"","วัดบ้านนา","","วัดยางจ้อง"
"","วัดวังน้ำขาว","","วัดสว่างอารมณ์"
"","วัดหนองจระเข้","","วัดเขวาใหญ่"
"","วัดห้วงหิน","","วัดจิรประภาวาส"
"","วัดอู่ทอง","","วัดบ้านผำ"
"","วัดดอนมะกอก","","วัดบุญศิริวราราม"
"","วัดตะเคียนงาม","","วัดส้มโฮง"
"","วัดสมมติเทพฐาปนาราม","","วัดหนองแคน"
"","วัดเกาะลอย","","วัดอารัญญา"
"","วัดท่ากง","","วัดกู่พัฒนา"
"","วัดท่ามะกอก","","วัดตลาดไชย"
"","วัดปากน้ำพังราด","","วัดพรหมศรีสว่าง"
"","วัดพังราด","","วัดบ้านหนองกุง"
"","วัดเขาดิน","","วัดหนองตาแสง"
"","วัดดอนสำราญ","","วัดหนองเปลือย"
"","วัดเนินหย่อง","","วัดหนองแปน"
"","วัดวังศิลาธรรมาราม","","วัดหนองหญ้าปล้อง"
"","วัดวังหว้า","","วัดหัวดอนชาด"
"","วัดหนองน้ำขุ่น","","วัดปทุมคงคา"
"","วัดคีรีวนาราม","","วัดโพนเงิน"
"","วัดเต้าปูนหาย","","วัดศรีอริยวงศ์"
"","วัดบ่อทอง","","วัดสำราญนิวาส"
"","วัดสองพี่น้อง","","วัดหัวดงกำแพง"
"","วัดคงคาวราราม","","วัดดอนแตง"
"","วัดห้วยยาง","","วัดทุ่งสว่างอารมณ์"
"","วัดสนามรัตนาวาส","","วัดเวฬุวนาราม"
"","วัดมงคลวุฒาวาส","","วัดสิงห์ทอง"
"","วัดชากกอไผ่","","วัดเสาธงทอง"
"","วัดเขาลอย","","วัดหนองตาด"
"","วัดคลองมงคล","","วัดเหล่ากลาง"
"","วัดเจ็ดลูกเนิน","","วัดอรัญวาสี(ดงมัน)"
"","วัดบึงต้นชัน","","วัดสว่างโพธิ์ศรี"
"","วัดบางขมิ้น","","วัดโพธิ์ทอง"
"","วัดตาขัน","","วัดไพรสณฑ์"
"","วัดบ้านเก่า","","วัดสรวงสวรรค์วนาราม"
"","วัดหนองคอกหมู","","วัดสุทธาวาส"
"","วัดหนองตะแบก","","วัดหัวหนองแวง"
"","วัดเขาหวาย","","วัดอินทร์ไตร"
"","วัดเทพนิมิตร","","วัดจอมศรีวราราม"
"","วัดเนินสว่าง","","วัดโพนสะอาด"
"","วัดสมวงศ์ธรรมาราม","","วัดสิงห์ไคล"
"","วัดหนองพะวา","","วัดเหล่าเสือ"
"","วัดหวายกรอง","","วัดอุ่มเม่า"
"","วัดกระบกขึ้นผึ้ง","","วัดวังใหญ่"
"","วัดบ้านค่าย","","วัดเหล่าหลวง"
"","วัดไผ่ล้อม","","วัดป่าหนองสังข์"
"","วัดประสิทธาราม","","วัดป่าเหล่าเสือ"
"","วัดปกรณ์ธรรมาราม","","วัดเทพนิมิตาราม"
"","วัดหนองผักหนาม","","วัดป่าทุ่งกุลา"
"","วัดเกาะ","","วัดป่าศรีปทุมวนาราม"
"","วัดปากป่า","","วัดพันธุวาส"
"","วัดหนองสะพาน","","วัดราชวารี"
"","วัดปทุมาวาส","","วัดสวรรคงคา"
"","วัดป่าหวาย","","วัดสันโดษโฆษะ"
"","วัดปิปผลิวนาราม","","วัดหนองครอง"
"","วัดละหารใหญ่","","วัดหนองผือน้อย"
"","วัดศาลาน้ำลึก","","วัดดงยาง"
"","วัดหนองกรับ","","วัดนางาม"
"","วัดหนองฆ้อ","","วัดบุปผาราม"
"","วัดหินโค้ง","","วัดสระแก้วมหานิล"
"","วัดเขาโพธิ์","","วัดหัวนาคำ"
"","วัดเชิงเนินสุทธาวาส","","วัดอุตมพิชัย"
"","วัดดอนจันทน์","","วัดไตรภูมิ"
"","วัดมาบตอง","","วัดท่าขันธ์"
"","วัดละหารไร่","","วัดท่าราษฏร์วารี"
"","วัดสวนหลาว","","วัดบ้านเขวา"
"","วัดหนองกะบอก","","วัดบ้านงูเหลือม"
"","วัดอ่างแก้ว","","วัดเวฬุวัน"
"","วัดสามัคคีคุณาวาส","","วัดศิริมงคล"
"","วัดชลธาราม","","วัดหนองขันธ์"
"","วัดเนินกระปรอก","","วัดเหล่าจั่น"
"","วัดบ้านฉาง","","วัดจันใดศรี"
"","วัดประชุมมิตรบำรุง","","วัดจินดามณี"
"","วัดภูดรนิ่มเสนาะ","","วัดชูเจริญ"
"","วัดคลองทราย","","วัดโนนสะอาด"
"","วัดพลา","","วัดบ้านหนองชาด"
"","วัดชากหมาก","","วัดศรีชมภู"
"","วัดบ้านคลองบางไผ่","","วัดสุคันธาวาส"
"","วัดสมบูรณาราม","","วัดหนองตอน้อย"
"","วัดสระแก้ว","","วัดโพธิ์ทองพัฒนาราม"
"","วัดสำนักกะท้อน","","วัดวารีสุคันธาวาส"
"","วัดสุวรรณรังสรรค์","","วัดศีลาพัฒนาภูมิ"
"","วัดหนองโบสถ์","","วัดสาครพัฒนาราม"
"","วัดคีรีภาวนาราม","","วัดโคกมอน"
"","วัดคลองกรำ","","วัดดงเค็ง"
"","วัดจอมพลเจ้าพระยา","","วัดดอนแคน"
"","วัดหนองบอนวิปัสสนา","","วัดบ้านสวนมอน"
"","วัดไพรสณฑ์","","วัดป่าสังข์"
"","วัดมาบลูกจันทร์","","วัดร่องคำ"
"","วัดมาบเตย","","วัดหนองทุ่ม"
"","วัดมาบยางพร","","วัดหนองบัวเลิง"
"","วัดราษฎร์อัสดาราม","","วัดราษฎร์สามัคคี"
"","วัดชากมันเทศ","","วัดสระจันทร์"
"","วัดดอกกราย","","วัดหงส์สุวรรณวาส"
"","วัดแม่น้ำคู้","","วัดหนองคูขาด"
"","วัดวังประดู่","","วัดถาวรรังศรี"
"","วัดสิทธิสามัคคี","","วัดโนนสวรรค์อารมณ์"
"","วัดหนองมะปริง","","วัดพิพิธมาลี"
"","วัดคลองน้ำดำ","","วัดศรีมาลัย"
"","วัดหมอมุ่ย","","วัดสว่างอรุณ"
"","วัดเขาคลองซอง","","วัดสุคันธาราม"
"","วัดคลองน้ำแดง","","วัดรังษี"
"","วัดบึงตาต้า","","วัดอัมรินทร์"
"","วัดหนองไร่","","วัดโพธิ์ศรีไสล"
"","วัดแกลงบน","","วัดสว่างคารมณ์"
"","วัดตะพุนทอง","","วัดสว่างหนองแวง"
"","วัดธงหงษ์","","วัดสามัคคี"
"","วัดเขาแก้ว","","วัดหนองหอย"
"","วัดเขายายชุม","","วัดอุดรนรเขต"
"","วัดตะเคียนทอง","","วัดตลาดบ้านอ้น"
"","วัดท่าเรือ","","วัดใต้"
"","วัดมาบจันทร์","","วัดบ้านอ้น"
"","วัดเกาะกลอย","","วัดศรีโพธิ์ทอง"
"","วัดน้ำคอก","","วัดสิริชัยพัฒนาราม"
"","วัดเนินพุทรา","","วัดสุทัศน์"
"","วัดบ้านดอน","","วัดดงบัง"
"","วัดปลวกเกตุ","","วัดโพธิ์ศรีบุญเรือง"
"","วัดช้างชนศิริราษฎร์บำรุง","","วัดศรีสุวรรณ"
"","วัดตะพงนอก","","วัดป่าดอนดู่ธรรมาราม"
"","วัดตะพงใน","","วัดป่าพรหมพิมาน"
"","วัดยายดา","","วัดวิสุทธิธรรมาราม"
"","วัดเขาโบสถ์","","วัดป่าพุธทคุณนิมิต"
"","วัดเขาไผ่","","วัดป่าอริยวงศ์"
"","วัดทับมา","","วัดศรีประชาพัฒนาราม"
"","วัดโขดทิมทาราม","","วัดงิ้วงาม"
"","วัดเขาวังม่าน","","วัดจังหาร"
"","วัดชะวึก","","วัดโนนขาม"
"","วัดนาตาขวัญ","","วัดบ้านแคน"
"","วัดกรอกยายชา","","วัดบ้านนา"
"","วัดโขดใต้","","วัดบ้านหัวงัว"
"","วัดโขดหิน","","วัดป่าจ่าเหลา"
"","วัดเนินพระ","","วัดสีมาราษฎร์วนาราม"
"","วัดหนองสนม","","วัดเหล่างิ้ว"
"","วัดเขาพระบาท","","วัดบ้านเหล่างิ้ว"
"","วัดตรีมิตรประดิษฐาราม","","วัดเทวาประสาท"
"","วัดแลง","","วัดอาศรมสันติวันตำบลดงสิงห์"
"","วัดปากน้ำ","","วัดนิคมคณาวาส"
"","วัดเกาะเสม็ด","","วัดนิมิตธัญญาผล"
"","วัดเขาสำเภาทอง","","วัดประสาทอารมณ์"
"","วัดในไร่","","วัดผดุงศรัทธรา"
"","วัดบ้านเพ","","วัดราษฎร์บำรุง"
"","วัดเภตราสุขารมย์","","วัดวารีสวาท"
"","วัดตากวน","","วัดสอาดธรรมทาน"
"","วัดมาบตาพุด","","วัดสอาดอารมณ์"
"","วัดยายจั่น","","วัดสุขสวัสดิ์"
"","วัดสำนักทอง","","วัดอาศรมสันติวัน"
"","วัดโอภาสี","","วัดอุดมคณาสิทธิ์"
"","วัดชากลูกหญ้า","","วัดแซงแหลม"
"","วัดซอยคีรี","","วัดบ้านขมิ้น"
"","วัดมาบชลูด","","วัดบ้านเขวาชี"
"","วัดหนองแฟบ","","วัดบ้านคุยค้อ"
"","วัดห้วยโป่ง","","วัดบ้านดอนหวาย"
"","วัดสมานมิตร","","วัดบ้านดินดำ"
"","วัดปากทางแกลง","","วัดบ้านพยอม"
"","วัดศรีวโนภาส","","วัดบึงโดน"
"","วัดตรีรัตนาราม","","วัดเลิงคา"
"","วัดจุฬามุนี","","วัดอรุณธรรมรังษี"
"","วัดมงคลสามัคคีธัมโมธัย","","วัดเก่าบุบผาราม"
"","วัดโสภณวนาราม","","วัดเจริญสุขถาวร"
"","วัดธรรมสถิต","","วัดดอนเกษม"
"","วัดเขาตาอิ๋น","","วัดบ้านปาฝา"
"","วัดคลองไผ่","","วัดศรีบุญเรือง"
"","วัดชุมแสง","","วัดอัมพวนาราม"
"","วัดคลองเขต","","วัดดงเครือวัลย์"
"","วัดบึงตากาด","","วัดเทวาพิทักษ์"
"","วัดป่ายุบ","","วัดโนนสวาท"
"","วัดเขาตลาดสิงหเสนี","","วัดบ้านหาด"
"","วัดพลงตาเอี่ยม","","วัดประสาทสิทธิผล"
"","วัดคลองจำกา","","วัดป่าคางฮุง"
"","วัดชงโค","","วัดบ้านแจ้งข่า"
"","วัดชุมนุมใน","","วัดโพธิ์ศรีม่วงลาด"
"","วัดวังจันทน์","","วัดราษฎร์วารี"
"","วัดศรีโสภณ","","วัดสว่างวนาวาส"
"","","","วัดสุธรรมราษฎร์บำรุง"
"","","","วัดชัยศรีมงคลวนาราม"
"","","","วัดโนนสว่าง"
"","","","วัดโนนสูง"
"","","","วัดบ้านน้ำเค็ม"
"","","","วัดศรีอาราม"
"","","","วัดหัวนายาง"
"","","","วัดโนนสูงวิเวการาม"
"","","","วัดฐิตวิริยาวนาราม"
"","","","วัดป่าสมุนไพรร้อยเอ็ด"
"","","","วัดบ้านหนองแซง"
"","","","วัดป่าบ้านดู่น้ำ(โนนสมอ)"
"","","","วัดป่าดอนสวรรค์"
"","","","วัดป่าศรีเลิงชัย"
"","","","วัดอรุณวิเวกธรรมาราม"
"","","","วัดเขวาทุ่ง"
"","","","วัดโต๊ะโหม"
"","","","วัดบ้านหนองบั่ว"
"","","","วัดโพธิ์รังสิทธิ์"
"","","","วัดหนองช้าง"
"","","","วัดเหล่าใหญ่"
"","","","วัดโพธิ์กลาง"
"","","","วัดโพธิ์ศรีวิลัย"
"","","","วัดศรีรัตนาราม"
"","","","วัดจันทราราม"
"","","","วัดธงธานี"
"","","","วัดวารีอุดม"
"","","","วัดหนองประดู่"
"","","","วัดเหนืออุดรชัยสิทธิ์"
"","","","วัดบิบผลิวนาราม"
"","","","วัดมงคลนิเวศน์"
"","","","วัดสารวนาราม"
"","","","วัดอุดมนิเวศน์"
"","","","วัดกลางเก่า"
"","","","วัดชัยคาม"
"","","","วัดดอนไผ่"
"","","","วัดตะโมม"
"","","","วัดท่าเยี่ยม"
"","","","วัดนิเวศน์"
"","","","วัดบ้านหนองบัว"
"","","","วัดประตูชัย"
"","","","วัดเหล่าแถม"
"","","","วัดเอกสัตย์บำรุง"
"","","","วัดจันทรังศรี"
"","","","วัดประชาอุทิศ"
"","","","วัดศรีจันทรวราราม"
"","","","วัดสว่างอารมณ์เขืองใหญ่"
"","","","วัดบ้านดอนไผ่"
"","","","วัดมะขามใต้"
"","","","วัดมะขามเหนือ"
"","","","วัดสมัยบำรุง"
"","","","วัดสังขนิวาส"
"","","","วัดจอมศรี"
"","","","วัดบังบด"
"","","","วัดป่าสุ่มน้อย"
"","","","วัดหนองปิง"
"","","","วัดเหนือพระเจ้า"
"","","","วัดเหล่าพระเจ้า"
"","","","วัดใหญ่พระเจ้า"
"","","","วัดโคกศรี"
"","","","วัดดอนสำราญใต้"
"","","","วัดโนนก้านเหลือง"
"","","","วัดบุ่งค้า"
"","","","วัดศรีสุพรรณ"
"","","","วัดคงคาวารี"
"","","","วัดน้อย"
"","","","วัดบ้านงิ้ว"
"","","","วัดป่าวิสุทธาวาส"
"","","","วัดพลับพลาชัย"
"","","","วัดมาลุวาคณาราม"
"","","","วัดวังยาว"
"","","","วัดเขมาวาส"
"","","","วัดดอนงัว"
"","","","วัดดู่กลาง"
"","","","วัดท่าบ่อ"
"","","","วัดไพบูลย์"
"","","","วัดหัวบ่อ"
"","","","วัดไก่ป่า"
"","","","วัดขัดเค้าใต้"
"","","","วัดชาตินิยม"
"","","","วัดดงบ้านนา"
"","","","วัดดอนชัย"
"","","","วัดเนินสง่าสามัคคี"
"","","","วัดบ้านกู่"
"","","","วัดบ้านโนนเดื่อ"
"","","","วัดมะเหลื่อม"
"","","","วัดมะอึ"
"","","","วัดยางกู่"
"","","","วัดส้มป่อย"
"","","","วัดหนองพอก"
"","","","วัดหนองยาง"
"","","","วัดธรรมนิยมสงเคราะห์"
"","","","วัดบ้านเมืองน้อย"
"","","","วัดมิ่งกลาง"
"","","","วัดเมืองน้อย"
"","","","วัดยางสินชัย"
"","","","วัดราษฎร์สามัคคีมะยาง"
"","","","วัดสระแก้ว"
"","","","วัดสว่างหนองเปิด"
"","","","วัดโพธิ์สว่าง"
"","","","วัดราชธานี"
"","","","วัดราชวนาราม"
"","","","วัดอี่หลุบ"
"","","","วัดเจริญผล"
"","","","วัดเปลือยน้อย"
"","","","วัดหนองแข้"
"","","","วัดหนองเต่า"
"","","","วัดหนองไผ่"
"","","","วัดหนองโสน"
"","","","วัดอุดม"
"","","","วัดกลางหมูม้น"
"","","","วัดธาตุประทับ"
"","","","วัดศรีวราหเขต"
"","","","วัดแสงประทีป"
"","","","วัดเหล่าหมูม้น"
"","","","วัดบัวหลวง"
"","","","วัดยางกลาง"
"","","","วัดศรีจันทร์"
"","","","วัดสะพานทอง"
"","","","วัดห้วยสนุก"
"","","","วัดเหล่าคำไฮ"
"","","","วัดโกศลรังสฤษดิ์"
"","","","วัดขี้เหล็ก"
"","","","วัดจันทร์สว่าง"
"","","","วัดตรีคาม"
"","","","วัดเทพชัยมงคล"
"","","","วัดนาคำ"
"","","","วัดป่าสุ่ม"
"","","","วัดฝั่งแดง"
"","","","วัดป่าทรงธรรม"
"","","","วัดบ้านจอมพล"
"","","","วัดประดู่ศรีไพรวรรณ"
"","","","วัดสุวารีวิหาร"
"","","","วัดป่าดอนแก้ว"
"","","","วัดป่าศรีพระลานชัย"
"","","","วัดไตรมิตรสามัคคีวนาราม"
"","","","วัดบูรณะเขต"
"","","","วัดสะอาดศรีจันทร์"
"","","","วัดสีดาราม"
"","","","วัดสุนทร"
"","","","วัดแสงอรุณราษฎร์"
"","","","วัดหนองสระ"
"","","","วัดชัยประสิทธิ์"
"","","","วัดบ้านดงช้าง"
"","","","วัดสามัคคีราษฎร์"
"","","","วัดอินทาราม"
"","","","วัดโนนสวรรค์"
"","","","วัดบ้านบักตู้"
"","","","วัดราษฎร์บูรณะ"
"","","","วัดสำโรง"
"","","","วัดหนองม่วง"
"","","","วัดหัวช้าง"
"","","","วัดฮ่องแฮ่"
"","","","วัดคุยแต้"
"","","","วัดตระคลองบึง"
"","","","วัดบ้านโคกทม"
"","","","วัดสระโนน"
"","","","วัดสระปทุม"
"","","","วัดหนองขาม"
"","","","วัดขามป้อม"
"","","","วัดโคกก่อง"
"","","","วัดจันทาราม"
"","","","วัดท่าม่วง"
"","","","วัดนาแค"
"","","","วัดบ้านโพนสูง"
"","","","วัดพิลา"
"","","","วัดโพธิการาม"
"","","","วัดโพนทอง"
"","","","วัดช่วยราษฎร์บำรุง"
"","","","วัดดอนดู่"
"","","","วัดโนนท่อน"
"","","","วัดบัวขาว"
"","","","วัดบ้านสระบัว"
"","","","วัดสะแบง"
"","","","วัดหนองมะเขือ"
"","","","วัดหนองหญ้ารังกา"
"","","","วัดนนทาประชานิมิตร"
"","","","วัดบ้านดู่ฝายใหญ่"
"","","","วัดประสิทธาราม"
"","","","วัดป่าอุทยาน"
"","","","วัดศรีประดู่"
"","","","วัดสุขประดิษฐ์"
"","","","วัดสุนันทาราช"
"","","","วัดหนองบัวบาน"
"","","","วัดป่าจารึกธรรม"
"","","","วัดป่าหนองตาเย็น"
"","","","วัดคูฟ้า"
"","","","วัดชานุวรรณ"
"","","","วัดดงสว่าง"
"","","","วัดบ้านกุดน้ำใส"
"","","","วัดพนัส"
"","","","วัดหนองเรือ"
"","","","วัดหนองหิน"
"","","","วัดอุดรไชยศาสตร์"
"","","","วัดบ้านกลาง"
"","","","วัดบ้านมะเขือ"
"","","","วัดโพธิ์ไทร"
"","","","วัดท่าสำราญ"
"","","","วัดท่าใฮ"
"","","","วัดโนนศิลา"
"","","","วัดบ้านสำโรง"
"","","","วัดฟ้าหยาดสิริราษฏร์"
"","","","วัดศรีสุมังคล์"
"","","","วัดขุมเงิน"
"","","","วัดคำสูง"
"","","","วัดเจริญราษฏร์"
"","","","วัดโพธิ์งาม"
"","","","วัดสระแคน"
"","","","วัดสระพัง"
"","","","วัดหนองบัวใหญ่"
"","","","วัดดูกอึ่ง"
"","","","วัดทุ่งรังษี"
"","","","วัดธาตุจอมศรี"
"","","","วัดวารีเกษม"
"","","","วัดสีสุก"
"","","","วัดหนองแซง"
"","","","วัดหนองบัวแดง"
"","","","วัดหนองไศล"
"","","","วัดหนองแห้ว"
"","","","วัดชัยราษฏร์"
"","","","วัดเด่นราษฏร์"
"","","","วัดโพธิ์สูง"
"","","","วัดราษฏร์อุดมวนาราม"
"","","","วัดขะยอม"
"","","","วัดแจ้ง"
"","","","วัดนานวล"
"","","","วัดโนนม่วง"
"","","","วัดบ้านชาติ"
"","","","วัดราษฎร์นิยม"
"","","","วัดหนองคูพัฒนา"
"","","","วัดกลางอุดมเวทย์"
"","","","วัดคุ้มวราราม"
"","","","วัดดอนเจริญ"
"","","","วัดดอนพระจันทร์"
"","","","วัดท่าวารี"
"","","","วัดไทยสมบูรณ์ประชาสรรค์"
"","","","วัดบึง"
"","","","วัดป่าอัมพวัน"
"","","","วัดสระโพธิ์"
"","","","วัดเหนือ"
"","","","วัดดอนบ่อ"
"","","","วัดโพธิ์ชัย"
"","","","วัดสว่าง"
"","","","วัดหนองผือ"
"","","","วัดหนองศรีทอง"
"","","","วัดหนองสมบูรณ์"
"","","","วัดหนองเหล็ก"
"","","","วัดยางเดี่ยว"
"","","","วัดวารีสะอาด"
"","","","วัดศรีสว่างพัฒนาราม"
"","","","วัดสว่างอุทัย"
"","","","วัดสิงห์สมทองสามัคคี"
"","","","วัดอุปราวิจิตร"
"","","","วัดวารีสวัสดิ์"
"","","","วัดสระโพธาราม"
"","","","วัดสว่างแสงจันทร์"
